model,AUC_mean,AUC_se,TPR_mean,TPR_se,FPR_mean,FPR_se,TNR_mean,TNR_se,FNR_mean,FNR_se,Precision_mean,Precision_se,Recall_mean,Recall_se,F1_mean,F1_se
LCM_2.5M,0.9770150701204936,0.007630037434346761,0.9834696969696969,0.02997065445662323,0.11104135193095227,0.046852253081558194,0.888958648069048,0.04685225308155821,0.016530303030303034,0.02997065445662324,0.9002639243464783,0.035278912736557505,0.9834696969696969,0.02997065445662323,0.939310365542979,0.02186774199063643
LCM_9.4M,0.9651159604390462,0.024551709324924866,0.9574130781499203,0.08907307473170956,0.15082607505450893,0.07704383379507948,0.8491739249454912,0.07704383379507948,0.042586921850079736,0.08907307473170956,0.8683914336865066,0.055851807796569175,0.9574130781499203,0.08907307473170956,0.9070657547029746,0.05371390799906781
LCM_12.2M,0.9755620837211609,0.010131447631970736,0.9642053502053501,0.06970579800994776,0.13174520266679873,0.06783262802626205,0.8682547973332013,0.06783262802626205,0.03579464979464979,0.06970579800994776,0.8831601328541808,0.04935248968016677,0.9642053502053501,0.06970579800994776,0.9196312868255913,0.04269497088304008
LCM_24M,0.9720156629880269,0.012596280666001273,0.9736284271284273,0.03597039668284119,0.19324046496308006,0.028994585436560482,0.8067595350369199,0.028994585436560468,0.026371572871572872,0.035970396682841195,0.8350679778316151,0.01838042539314659,0.9736284271284273,0.03597039668284119,0.8984735890354185,0.015105015747279276
PCMCI,0.8985324184099833,0.0356177330708172,0.9252946918349395,0.054351628123513775,0.5102131632748249,0.2137746317917794,0.4897868367251751,0.2137746317917794,0.07470530816506048,0.05435162812351377,0.6609537376153001,0.10210358888133363,0.9252946918349395,0.054351628123513775,0.7648533087840282,0.06031707594919221
DYNOTEARS,0.5660715818405151,0.03754983216712975,0.1828876303148749,0.07951063240427655,0.053783777345010116,0.015224291931692778,0.9462162226549898,0.015224291931692762,0.8171123696851251,0.07951063240427655,0.7462251199731107,0.10420806807830195,0.1828876303148749,0.07951063240427655,0.28871096003773394,0.10885907907318998
VARLINGAM,0.9067205508550008,0.02451394165638548,0.894106024980638,0.055414647760350405,0.2679889636302827,0.03535986123874912,0.7320110363697175,0.035359861238749124,0.10589397501936201,0.0554146477603504,0.7702729843354595,0.01611391634126904,0.894106024980638,0.055414647760350405,0.8263872289883456,0.0206631484959644
