model,AUC_mean,AUC_se,TPR_mean,TPR_se,FPR_mean,FPR_se,TNR_mean,TNR_se,FNR_mean,FNR_se,Precision_mean,Precision_se,Recall_mean,Recall_se,F1_mean,F1_se
LCM_2.5M,0.9853156756471705,0.014136045534044812,0.974029982363316,0.06521113340839778,0.06284756942429892,0.02673775270543287,0.937152430575701,0.02673775270543287,0.025970017636684304,0.06521113340839778,0.9401020322538454,0.023836091693064852,0.974029982363316,0.06521113340839778,0.955383087435268,0.035709363674159694
LCM_9.4M,0.9828311690577755,0.013996507272697701,0.8724345304900861,0.18594171883746527,0.04477917045418783,0.02411429370205238,0.9552208295458121,0.02411429370205238,0.12756546950991396,0.18594171883746521,0.9520707938861853,0.022690592517061257,0.8724345304900861,0.18594171883746527,0.8980718842314096,0.11944646035653018
LCM_12.2M,0.9776081422964732,0.018280979719487264,0.8902542621987066,0.18947418039006556,0.061747690042203436,0.03566579467481432,0.9382523099577965,0.03566579467481433,0.10974573780129336,0.18947418039006553,0.9275983806781306,0.10340127867166683,0.8902542621987066,0.18947418039006556,0.8982118919822274,0.1413594225344468
LCM_24M,0.970516202405647,0.020778472837045377,0.69358759553204,0.38124433553079706,0.06674477943201709,0.06173921864671523,0.933255220567983,0.06173921864671523,0.30641240446796003,0.38124433553079706,0.7995519370727668,0.3220740545292518,0.69358759553204,0.38124433553079706,0.7102564093077982,0.3443182223500684
PCMCI,0.5650378054490796,0.20983031971358432,0.9153218694885361,0.21724828981721125,0.8846340388007056,0.25093376349055585,0.11536596119929453,0.25093376349055585,0.08467813051146385,0.2172482898172112,0.5245997092011584,0.13088674917120413,0.9153218694885361,0.21724828981721125,0.6441811475838891,0.11425100964194812
DYNOTEARS,0.7064626879162259,0.21864185051212992,0.5034751770862882,0.3688304216117529,0.10586419753086419,0.20722935662942982,0.8941358024691359,0.2072293566294298,0.49652482291371175,0.3688304216117529,0.839625446569891,0.2862793233713794,0.5034751770862882,0.3688304216117529,0.5626209091045568,0.3276663784142782
VARLINGAM,0.5211531638547227,0.1986877478809053,0.6599810169254613,0.41600651521866405,0.6251322751322751,0.3133438188993324,0.3748677248677249,0.3133438188993324,0.3400189830745386,0.41600651521866405,0.4174415427347347,0.2696973944077547,0.6599810169254613,0.41600651521866405,0.5010642655342252,0.31012728140590623
