model,AUC_mean,AUC_se,TPR_mean,TPR_se,FPR_mean,FPR_se,TNR_mean,TNR_se,FNR_mean,FNR_se,Precision_mean,Precision_se,Recall_mean,Recall_se,F1_mean,F1_se
CP_trf,0.5415766562372446,0.10806322232831754,0.235319462318727,0.1456322636687444,0.19880112442742348,0.04246876846534708,0.8011988755725765,0.04246876846534708,0.764680537681273,0.1456322636687444,0.4876053680335068,0.20365067316900662,0.235319462318727,0.1456322636687444,0.3119377217987374,0.16789398733412214
LCM_2.5M,0.9569623931288719,0.017900594590945076,0.9972213245088245,0.01793523458122478,0.17069191636005177,0.04900110436524583,0.8293080836399483,0.04900110436524583,0.0027786754911754913,0.017935234581224778,0.8553990006717842,0.036093055138590055,0.9972213245088245,0.01793523458122478,0.9203708384722519,0.021844992880567755
LCM_9.4M,0.9723739381909371,0.009291769861460126,0.998513533966034,0.013058852095853698,0.16102090586277448,0.05896289716845729,0.8389790941372257,0.05896289716845729,0.001486466033966034,0.013058852095853698,0.8633417176779654,0.04257617900454705,0.998513533966034,0.013058852095853698,0.9253805361269433,0.024927251624804435
LCM_12.2M,0.9533635355949401,0.01694922033541275,0.9974138114663114,0.017136231899026078,0.15254284527163658,0.03361190424866668,0.8474571547283635,0.03361190424866668,0.0025861885336885336,0.017136231899026078,0.868116447564233,0.025085076841684664,0.9974138114663114,0.017136231899026078,0.9279952687074041,0.015784335824117167
LCM_24M,0.9735236649513245,0.0072753460886923445,0.9235983904004493,0.09968592725284238,0.060088096876688646,0.01791647198839561,0.9399119031233113,0.01791647198839561,0.07640160959955078,0.09968592725284238,0.9393566976203539,0.01486922301159021,0.9235983904004493,0.09968592725284238,0.9283159262214378,0.05463277805521589
PCMCI,0.4769712873324752,0.1031874698367156,0.9790231851481851,0.06028779595898162,0.9610123432982566,0.08679359278644742,0.03898765670174339,0.08679359278644742,0.02097681485181485,0.060287795958981615,0.505374708173231,0.02512300384038821,0.9790231851481851,0.06028779595898162,0.6657823731925862,0.027974481007967684
DYNOTEARS,0.48327545161545277,0.07759468113399103,0.0678356619687502,0.08913960567103466,0.07010276045763662,0.07221492684720475,0.9298972395423635,0.07221492684720475,0.9321643380312499,0.08913960567103466,0.33160225490243345,0.3888507839935106,0.0678356619687502,0.08913960567103466,0.10788912370333578,0.13271130783140594
VARLINGAM,0.47986908112466337,0.1054615268264239,0.9692308774558774,0.06042652156187933,0.898532443528264,0.1018655613711333,0.10146755647173604,0.10186556137113328,0.03076912254412254,0.06042652156187933,0.5200424763847882,0.030777247175219194,0.9692308774558774,0.06042652156187933,0.6760754803238226,0.03364160942967306
