model,AUC_mean,AUC_se,TPR_mean,TPR_se,FPR_mean,FPR_se,TNR_mean,TNR_se,FNR_mean,FNR_se,Precision_mean,Precision_se,Recall_mean,Recall_se,F1_mean,F1_se
LCM_2.5M,0.9801312188307444,0.007347588956765158,0.992063492063492,0.032723060520775095,0.09771747698785249,0.04607733320770934,0.9022825230121476,0.04607733320770933,0.007936507936507936,0.03272306052077509,0.9119680651423802,0.03484688526867256,0.992063492063492,0.032723060520775095,0.9495959647830836,0.023726097205367606
LCM_9.4M,0.9837190707524618,0.005856545213960367,0.992063492063492,0.032723060520775095,0.08877946126674154,0.02469897445830461,0.9112205387332585,0.02469897445830461,0.007936507936507936,0.03272306052077509,0.9184451870911463,0.020412725198960095,0.992063492063492,0.032723060520775095,0.9533706320007445,0.017985661557852643
LCM_12.2M,0.9831722378730774,0.0056868787099561115,0.992063492063492,0.032723060520775095,0.11269881519833108,0.06901993858480107,0.887301184801669,0.06901993858480106,0.007936507936507936,0.03272306052077509,0.9013338361536818,0.04959216645606496,0.992063492063492,0.032723060520775095,0.943343641298287,0.030725130227294405
LCM_24M,0.979302359951867,0.008894584206460636,0.9960317460317462,0.016361530260387534,0.3619381874470187,0.10945932553513656,0.6380618125529812,0.10945932553513653,0.003968253968253968,0.016361530260387544,0.7385051792855908,0.060230259973189496,0.9960317460317462,0.016361530260387534,0.8465808446385354,0.038208714311588024
PCMCI,0.9661949442492591,0.02856894831286004,0.9781746031746033,0.03731794220992862,0.5793288056204074,0.20557095467967226,0.42067119437959255,0.20557095467967226,0.02182539682539682,0.03731794220992862,0.6406039958759036,0.086983653395615,0.9781746031746033,0.03731794220992862,0.7695040466607074,0.05473275510660633
DYNOTEARS,0.551910431848632,0.053156375808526675,0.14775110605863961,0.10890029512934297,0.04835748978596896,0.01478735069739131,0.9516425102140309,0.014787350697391307,0.8522488939413605,0.108900295129343,0.7026245500264615,0.1128913133105975,0.14775110605863961,0.10890029512934297,0.23348962425277955,0.14211448881090363
VARLINGAM,0.9410562713940939,0.03024255589123736,0.9247223424532507,0.057816018899638,0.21849843133338454,0.06417507604298817,0.7815015686666154,0.06417507604298815,0.0752776575467494,0.05781601889963799,0.8115569991276962,0.04021998654111058,0.9247223424532507,0.057816018899638,0.8627532403503171,0.030116457993743156
