model_a,model_b,mean_a,mean_b,std_a,std_b,mean_delta,median_delta,raw_p_value,adjusted_alpha,significant
LCM_100syn_0sim,LCM_80syn_20sim,0.9389989866929895,0.9828355803209192,0.03666567306175909,0.011432942314400181,-0.04383659362792969,-0.039812684059143066,1.52587890625e-05,0.008333333333333333,True
LCM_100syn_0sim,LCM_50syn_50sim,0.9389989866929895,0.9887644964105943,0.03666567306175909,0.010771088124187742,-0.04976550971760469,-0.04918032884597778,1.52587890625e-05,0.008333333333333333,True
LCM_100syn_0sim,LCM_20syn_80sim,0.9389989866929895,0.9864875709309298,0.03666567306175909,0.015566594812706945,-0.04748858423794017,-0.05205899477005005,0.000213623046875,0.008333333333333333,True
LCM_80syn_20sim,LCM_50syn_50sim,0.9828355803209192,0.9887644964105943,0.011432942314400181,0.010771088124187742,-0.0059289160896750055,-0.005152285099029541,0.002441590246225147,0.008333333333333333,True
LCM_80syn_20sim,LCM_20syn_80sim,0.9828355803209192,0.9864875709309298,0.011432942314400181,0.015566594812706945,-0.003651990610010484,-0.005086064338684082,0.10888671875,0.008333333333333333,False
LCM_50syn_50sim,LCM_20syn_80sim,0.9887644964105943,0.9864875709309298,0.010771088124187742,0.015566594812706945,0.002276925479664522,-0.0004684329032897949,1.0,0.008333333333333333,False
