model_a,model_b,mean_a,mean_b,std_a,std_b,mean_delta,median_delta,raw_p_value,adjusted_alpha,significant
LCM_100syn_0sim,LCM_80syn_20sim,0.9666667679945627,0.9816171725591024,0.012131700826923166,0.006629626494809351,-0.014950404564539591,-0.012445390224456787,7.62939453125e-06,0.008333333333333333,True
LCM_100syn_0sim,LCM_50syn_50sim,0.9666667679945627,0.9790850679079691,0.012131700826923166,0.008282713630214517,-0.012418299913406372,-0.009124666452407837,0.00019073486328125,0.008333333333333333,True
LCM_100syn_0sim,LCM_20syn_80sim,0.9666667679945627,0.9755059844917722,0.012131700826923166,0.010836889214886854,-0.008839216497209337,-0.006837189197540283,0.0128631591796875,0.008333333333333333,False
LCM_80syn_20sim,LCM_50syn_50sim,0.9816171725591024,0.9790850679079691,0.006629626494809351,0.008282713630214517,0.0025321046511332193,0.0027072131633758545,0.0182342529296875,0.008333333333333333,False
LCM_80syn_20sim,LCM_20syn_80sim,0.9816171725591024,0.9755059844917722,0.006629626494809351,0.010836889214886854,0.006111188067330254,0.005224496126174927,0.0008392333984375,0.008333333333333333,True
LCM_50syn_50sim,LCM_20syn_80sim,0.9790850679079691,0.9755059844917722,0.008282713630214517,0.010836889214886854,0.003579083416197035,0.0017476081848144531,0.0431671142578125,0.008333333333333333,False
