model,AUC_mean,AUC_se,TPR_mean,TPR_se,FPR_mean,FPR_se,TNR_mean,TNR_se,FNR_mean,FNR_se,Precision_mean,Precision_se,Recall_mean,Recall_se,F1_mean,F1_se
Informer_5V_3L,0.8680909812030658,0.08536920442173673,0.9721830985915493,0.16174931132571288,0.3111972165321422,0.08836705045072234,0.6888027834678577,0.08836705045072232,0.027816901408450705,0.16174931132571288,0.7429256200908904,0.1312560586997413,0.9721830985915493,0.16174931132571288,0.8411270818650729,0.14202685823577757
LCM_5V_3L_CI,0.9146423753508379,0.1121567245230952,0.9767605633802817,0.131753518429156,0.28682724907435364,0.1735544700500806,0.7131727509256465,0.1735544700500806,0.02323943661971831,0.131753518429156,0.7798470349221199,0.1497624273252326,0.9767605633802817,0.131753518429156,0.8624583129094,0.13019500504170403
LCM_5V_3L_CI_CR_1.0,0.9249147027521066,0.12451545553125802,0.8833920187793426,0.281043279931252,0.13391941802674656,0.0889978393650386,0.8660805819732533,0.0889978393650386,0.11660798122065727,0.281043279931252,0.8172203879801772,0.237594313739986,0.8833920187793426,0.281043279931252,0.8436099680418733,0.2537491376118848
LCM_5V_3L_CI_CR_0.25,0.9261878823520432,0.12676998667202685,0.8586502347417839,0.30102020278429065,0.11893383974211776,0.08397251011706397,0.8810661602578823,0.08397251011706397,0.14134976525821596,0.30102020278429065,0.8161828823344647,0.2552079017463515,0.8586502347417839,0.30102020278429065,0.8302671797035064,0.27236504699188274
LCM_5V_3L_CI_CR_0.5,0.9181288424931782,0.1381286697407216,0.9237558685446009,0.23282770808430137,0.1716666000114972,0.11162660145107924,0.8283333999885027,0.11162660145107922,0.07624413145539904,0.2328277080843014,0.8162319532927812,0.20115387275460084,0.9237558685446009,0.23282770808430137,0.8628059830741374,0.21044707689214326
LCM_5V_3L_CI_CR_0.75,0.9263431970712165,0.12558564331570896,0.8916784037558686,0.27124264819002747,0.14317749862619442,0.09956069810403677,0.8568225013738057,0.09956069810403678,0.10832159624413146,0.2712426481900275,0.8175946273510956,0.23000387596951594,0.8916784037558686,0.27124264819002747,0.8476359650966628,0.24457430693213716
