model,AUC_mean,AUC_se,TPR_mean,TPR_se,FPR_mean,FPR_se,TNR_mean,TNR_se,FNR_mean,FNR_se,Precision_mean,Precision_se,Recall_mean,Recall_se,F1_mean,F1_se
LCM_2.5M,0.9789689994775332,0.016587005315142234,1.0,0.0,0.10644906142801665,0.06570986922843962,0.8935509385719833,0.06570986922843962,0.0,0.0,0.9069543356482402,0.053267783328619873,1.0,0.0,0.9503842058157163,0.02946498796232807
LCM_9.4M,0.9793480267891517,0.012503689826941538,1.0,0.0,0.11380084058198789,0.06253385355250299,0.8861991594180121,0.062533853552503,0.0,0.0,0.9006901902167174,0.05103378256489716,1.0,0.0,0.9469952331131898,0.028138482880251354
LCM_12.2M,0.9825812940414135,0.012234169097996496,0.9988165680473372,0.009467455621301767,0.1129232565195483,0.05607135358392378,0.8870767434804517,0.05607135358392378,0.001183431952662722,0.009467455621301775,0.9006955430020208,0.04529666997410597,0.9988165680473372,0.009467455621301767,0.9466093589648882,0.025608997694882674
LCM_24M,0.9840706371344052,0.01125646036500076,0.9903550295857988,0.03820400809307247,0.10094528536284185,0.080283404828894,0.8990547146371581,0.080283404828894,0.009644970414201183,0.03820400809307248,0.9124074475114945,0.06164999721515892,0.9903550295857988,0.03820400809307247,0.9480537762026916,0.037184175978924816
PCMCI,0.7687892478245956,0.11090833121862292,0.9963369963369964,0.012689016905266514,0.9704965920155794,0.05021327827754547,0.029503407984420645,0.05021327827754548,0.003663003663003663,0.0126890169052665,0.5068943384998217,0.011799408865236649,0.9963369963369964,0.012689016905266514,0.6717933716746187,0.009420809392276243
DYNOTEARS,0.48319311841176105,0.15902146929012848,0.6518033248802481,0.41505875273152687,0.6732635507951964,0.4282141324016807,0.3267364492048036,0.4282141324016807,0.34819667511975194,0.41505875273152687,0.40458276067096555,0.20746310879700214,0.6518033248802481,0.41505875273152687,0.46442204880544546,0.2710574845059892
VARLINGAM,0.7811806820906125,0.10169739218468024,0.916701887855734,0.06573967185692779,0.7363012758095524,0.1728093367553929,0.26369872419044765,0.17280933675539287,0.083298112144266,0.06573967185692782,0.561085702375893,0.07130809680713891,0.916701887855734,0.06573967185692779,0.6933716356107736,0.057521671941842475
