model,AUC_mean,AUC_se,TPR_mean,TPR_se,FPR_mean,FPR_se,TNR_mean,TNR_se,FNR_mean,FNR_se,Precision_mean,Precision_se,Recall_mean,Recall_se,F1_mean,F1_se
LCM_2.5M,0.9955349614222845,0.0047827851587523736,0.9634920634920635,0.10398945621688382,0.09291548944136313,0.05940661365908338,0.9070845105586368,0.05940661365908339,0.03650793650793651,0.10398945621688382,0.915717406160507,0.04566942875823077,0.9634920634920635,0.10398945621688382,0.934479425251993,0.059804570152573705
LCM_9.4M,0.9960860013961792,0.0043556738267164575,0.9589285714285715,0.08641482356005008,0.07102536415360676,0.05254268226724714,0.9289746358463932,0.05254268226724714,0.04107142857142857,0.08641482356005008,0.9347378010876433,0.042405951956130894,0.9589285714285715,0.08641482356005008,0.9431770781435176,0.04445648558018203
LCM_12.2M,0.9964648485183716,0.0035566324571611008,0.9861111111111112,0.04606423319938055,0.08285267324981985,0.05762901868128681,0.9171473267501802,0.057629018681286816,0.013888888888888888,0.04606423319938055,0.9255484577345795,0.04603396378793683,0.9861111111111112,0.04606423319938055,0.9533676215488412,0.029891375984263543
LCM_24M,0.995770995815595,0.006950530081984802,1.0,0.0,0.12780172672585952,0.04636647748042123,0.8721982732741405,0.04636647748042121,0.0,0.0,0.8881529706896117,0.03583651177010537,1.0,0.0,0.9403789805361449,0.020277757828319896
PCMCI,0.9723164488871893,0.05329462320918449,0.9801587301587302,0.07131825696671203,0.43435729140205015,0.23824543839837017,0.5656427085979499,0.23824543839837017,0.01984126984126984,0.07131825696671201,0.713388739315624,0.11396731611951307,0.9801587301587302,0.07131825696671203,0.8180420165791459,0.07728623951209614
DYNOTEARS,0.5368314211567243,0.051964549167336054,0.13720238095238094,0.08814298496942186,0.06970898187536241,0.03208007437602844,0.9302910181246377,0.03208007437602842,0.862797619047619,0.08814298496942186,0.5446350518309638,0.3242280509475651,0.13720238095238094,0.08814298496942186,0.21714088547264196,0.13479656083168987
VARLINGAM,0.9843065689007441,0.0204978052291788,0.9940476190476191,0.028546616210194768,0.3176707770684546,0.028019957531051326,0.6823292229315454,0.028019957531051343,0.005952380952380952,0.028546616210194758,0.7579942564736163,0.01820668207958988,0.9940476190476191,0.028546616210194768,0.8599590921509317,0.01961165781590313
