model,AUC_mean,AUC_se,TPR_mean,TPR_se,FPR_mean,FPR_se,TNR_mean,TNR_se,FNR_mean,FNR_se,Precision_mean,Precision_se,Recall_mean,Recall_se,F1_mean,F1_se
LCM_2.5M,0.9894578667247996,0.0071314955508166395,0.9484593837535013,0.08073352016454084,0.05243755288273945,0.023097291794527283,0.9475624471172607,0.023097291794527273,0.051540616246498604,0.08073352016454083,0.9488068086800302,0.019283657289562165,0.9484593837535013,0.08073352016454084,0.946331145724161,0.03892992364419706
LCM_9.4M,0.9830353785963619,0.01225352412826901,0.7988795518207283,0.181513793785228,0.0373131593570208,0.02592766622193467,0.9626868406429793,0.025927666221934667,0.20112044817927172,0.18151379378522797,0.9557458975573259,0.02669865383975058,0.7988795518207283,0.181513793785228,0.8582417107948173,0.11873436654434669
LCM_12.2M,0.9874670715893016,0.010007706818462025,0.8714285714285714,0.1494108299458534,0.03000760778577417,0.02756480546504888,0.9699923922142258,0.027564805465048862,0.1285714285714286,0.1494108299458534,0.9690421517183956,0.024965164303394204,0.8714285714285714,0.1494108299458534,0.9095571920500166,0.08518365543726925
LCM_24M,0.982575444614186,0.014991383567960887,1.0,0.0,0.1552319188910151,0.03875376469344748,0.844768081108985,0.03875376469344748,0.0,0.0,0.8665841971949856,0.028542774108199064,1.0,0.0,0.9282714504917873,0.016523001554780634
PCMCI,0.9275780179921318,0.09658735139377872,0.9137254901960784,0.12514505232525866,0.45121373593329567,0.22500329630152546,0.5487862640667045,0.2250032963015255,0.08627450980392158,0.12514505232525866,0.6888167692976715,0.11815764474670952,0.9137254901960784,0.12514505232525866,0.7753938164013621,0.08770352548502076
DYNOTEARS,0.7081725720097037,0.11896615881390062,0.3985994397759104,0.20291667243657935,0.03676571864762793,0.014540436912805845,0.9632342813523721,0.01454043691280584,0.6014005602240897,0.20291667243657932,0.859411471444387,0.21672296157494694,0.3985994397759104,0.20291667243657935,0.525145520775614,0.209531745488845
VARLINGAM,0.9381100745762095,0.07576837328039003,0.923389355742297,0.12652230377850301,0.25295668962641227,0.058748303865961436,0.7470433103735878,0.05874830386596143,0.07661064425770307,0.12652230377850301,0.7830714760920464,0.05397823830139711,0.923389355742297,0.12652230377850301,0.8451051506852378,0.08189283350862535
