model_a,model_b,mean_a,mean_b,std_a,std_b,mean_delta,median_delta,raw_p_value,adjusted_alpha,significant
LCM_2.5M,LCM_9.4M,0.9193303912878037,0.9244452165365219,0.018629865960316783,0.008490562425274304,-0.005114825248718262,-0.0021464526653289795,2.2331512324519248e-11,0.002380952380952381,True
LCM_2.5M,LCM_12.2M,0.9193303912878037,0.9211240971088409,0.018629865960316783,0.014864346681157277,-0.0017937058210372924,-0.0006605088710784912,0.08620450151929704,0.002380952380952381,False
LCM_2.5M,LCM_24M,0.9193303912878037,0.9316006856560707,0.018629865960316783,0.010074566321065896,-0.012270294368267059,-0.00990217924118042,2.8327585218289767e-95,0.002380952380952381,True
LCM_2.5M,PCMCI,0.9193303912878037,0.6352964340746403,0.018629865960316783,0.046732245946797736,0.2840339572131634,0.28102922439575195,3.3258572475243253e-165,0.002380952380952381,True
LCM_2.5M,DYNOTEARS,0.9193303912878037,0.5192827472686767,0.018629865960316783,0.027892952145507258,0.4000476440191269,0.40598487854003906,3.3258535047076764e-165,0.002380952380952381,True
LCM_2.5M,VARLINGAM,0.9193303912878037,0.6478236284554004,0.018629865960316783,0.053386873389022864,0.27150676283240316,0.2686493992805481,3.3258535047076764e-165,0.002380952380952381,True
LCM_9.4M,LCM_12.2M,0.9244452165365219,0.9211240971088409,0.008490562425274304,0.014864346681157277,0.003321119427680969,0.001827239990234375,2.1254681454865634e-08,0.002380952380952381,True
LCM_9.4M,LCM_24M,0.9244452165365219,0.9316006856560707,0.008490562425274304,0.010074566321065896,-0.007155469119548797,-0.007063359022140503,9.103425203474863e-86,0.002380952380952381,True
LCM_9.4M,PCMCI,0.9244452165365219,0.6352964340746403,0.008490562425274304,0.046732245946797736,0.28914878246188164,0.2854464650154114,3.3258572475243253e-165,0.002380952380952381,True
LCM_9.4M,DYNOTEARS,0.9244452165365219,0.5192827472686767,0.008490562425274304,0.027892952145507258,0.40516246926784516,0.4087548851966858,3.3258572475243253e-165,0.002380952380952381,True
LCM_9.4M,VARLINGAM,0.9244452165365219,0.6478236284554004,0.008490562425274304,0.053386873389022864,0.27662158808112147,0.2744002640247345,3.3258572475243253e-165,0.002380952380952381,True
LCM_12.2M,LCM_24M,0.9211240971088409,0.9316006856560707,0.014864346681157277,0.010074566321065896,-0.010476588547229767,-0.008492231369018555,1.1119879420163371e-100,0.002380952380952381,True
LCM_12.2M,PCMCI,0.9211240971088409,0.6352964340746403,0.014864346681157277,0.046732245946797736,0.28582766303420065,0.28189870715141296,3.325855376115758e-165,0.002380952380952381,True
LCM_12.2M,DYNOTEARS,0.9211240971088409,0.5192827472686767,0.014864346681157277,0.027892952145507258,0.4018413498401642,0.40759703516960144,3.325855376115758e-165,0.002380952380952381,True
LCM_12.2M,VARLINGAM,0.9211240971088409,0.6478236284554004,0.014864346681157277,0.053386873389022864,0.2733004686534405,0.2711254954338074,3.325855376115758e-165,0.002380952380952381,True
LCM_24M,PCMCI,0.9316006856560707,0.6352964340746403,0.010074566321065896,0.046732245946797736,0.2963042515814304,0.2933226525783539,3.3258572475243253e-165,0.002380952380952381,True
LCM_24M,DYNOTEARS,0.9316006856560707,0.5192827472686767,0.010074566321065896,0.027892952145507258,0.41231793838739395,0.416655570268631,3.3258516333008374e-165,0.002380952380952381,True
LCM_24M,VARLINGAM,0.9316006856560707,0.6478236284554004,0.010074566321065896,0.053386873389022864,0.28377705720067026,0.2812459468841553,3.3258535047076764e-165,0.002380952380952381,True
PCMCI,DYNOTEARS,0.6352964340746403,0.5192827472686767,0.046732245946797736,0.027892952145507258,0.11601368680596352,0.12399289011955261,1.0190185028267302e-161,0.002380952380952381,True
PCMCI,VARLINGAM,0.6352964340746403,0.6478236284554004,0.046732245946797736,0.053386873389022864,-0.012527194380760193,-0.01089891791343689,6.00958123345788e-11,0.002380952380952381,True
DYNOTEARS,VARLINGAM,0.5192827472686767,0.6478236284554004,0.027892952145507258,0.053386873389022864,-0.12854088118672372,-0.13381972908973694,6.675349696598914e-160,0.002380952380952381,True
