model,AUC_mean,AUC_se,TPR_mean,TPR_se,FPR_mean,FPR_se,TNR_mean,TNR_se,FNR_mean,FNR_se,Precision_mean,Precision_se,Recall_mean,Recall_se,F1_mean,F1_se
LCM_2.5M,0.9193303912878037,0.018620548697438285,0.9498162429873606,0.06191370524782124,0.1578010005729905,0.04558698099539767,0.8421989994270094,0.045586980995397666,0.050183757012639385,0.06191370524782124,0.8584553265397561,0.034188058712697034,0.9498162429873606,0.06191370524782124,0.9007005886375191,0.03907302108616092
LCM_9.4M,0.9244452165365219,0.008486316082210371,0.9985057176704333,0.008573043606901504,0.1470842038462641,0.027921008667018743,0.8529157961537359,0.027921008667018746,0.001494282329566581,0.008573043606901502,0.8720798367246105,0.019288608555024605,0.9985057176704333,0.008573043606901504,0.9308826912589265,0.012023144773870465
LCM_12.2M,0.9211240971088409,0.01485691264884376,0.9922849373631992,0.04029846894379175,0.18759866372762105,0.07319530895587338,0.812401336272379,0.07319530895587338,0.007715062636800838,0.04029846894379175,0.8439257073816808,0.04767602051657557,0.9922849373631992,0.04029846894379175,0.9109000067598939,0.035956807674270404
LCM_24M,0.9316006856560707,0.01006952777795452,0.9783720170793356,0.05609355288653111,0.15286583122667086,0.023614742096212213,0.8471341687733291,0.023614742096212213,0.02162798292066448,0.05609355288653111,0.8653918761583542,0.01554686051746552,0.9783720170793356,0.05609355288653111,0.9173330231088612,0.02834846120794147
PCMCI,0.6352964340746403,0.046708873979371006,0.9735555850441181,0.029623010043062985,0.946718255953005,0.030468273737864832,0.05328174404699498,0.03046827373786483,0.026444414955881877,0.029623010043062985,0.5070011327111077,0.007520627250002639,0.9735555850441181,0.029623010043062985,0.6666493945431965,0.01140545750010865
DYNOTEARS,0.5192827472686767,0.02787900218107109,0.13639136856066916,0.09199619099576124,0.09691947849726494,0.058175242300395155,0.903080521502735,0.058175242300395155,0.8636086314393308,0.09199619099576124,0.5526833026847814,0.16009328413534943,0.13639136856066916,0.09199619099576124,0.20791465444723922,0.11936111725482355
VARLINGAM,0.6478236284554004,0.05336017327563041,0.9501019460383582,0.08565246905710061,0.8046341431332642,0.08964333451380739,0.19536585686673577,0.08964333451380739,0.049898053961641785,0.08565246905710061,0.5418288642074367,0.024936398476886626,0.9501019460383582,0.08565246905710061,0.6878636241035719,0.04641848974490325
