model_a,model_b,mean_a,mean_b,std_a,std_b,mean_delta,median_delta,raw_p_value,adjusted_alpha,significant
CP_trf,LCM_2.5M,0.8832330107688904,0.9818838976678395,0.08015440252927891,0.016692229669550352,-0.09865088689894903,-0.08625590801239014,9.5367431640625e-07,0.0017857142857142859,True
CP_trf,LCM_9.4M,0.8832330107688904,0.9842874663216727,0.08015440252927891,0.007643227412461694,-0.10105445555278234,-0.08211082220077515,9.5367431640625e-07,0.0017857142857142859,True
CP_trf,LCM_12.2M,0.8832330107688904,0.9878461985361009,0.08015440252927891,0.005733263478613099,-0.10461318776721046,-0.08495438098907471,9.5367431640625e-07,0.0017857142857142859,True
CP_trf,LCM_24M,0.8832330107688904,0.9878099191756475,0.08015440252927891,0.006325969784043808,-0.10457690840675718,-0.0765950083732605,9.5367431640625e-07,0.0017857142857142859,True
CP_trf,PCMCI,0.8832330107688904,0.7462026902607509,0.08015440252927891,0.11437780591823209,0.13703032050813949,0.16512829065322876,0.0011537024275869528,0.0017857142857142859,True
CP_trf,DYNOTEARS,0.8832330107688904,0.528504266625359,0.08015440252927891,0.15640572341178602,0.35472874414353145,0.3517948389053345,2.86102294921875e-06,0.0017857142857142859,True
CP_trf,VARLINGAM,0.8832330107688904,0.7938461502393087,0.08015440252927891,0.09775207267963847,0.08938686052958171,0.0802564024925232,0.0037527084350585938,0.0017857142857142859,False
LCM_2.5M,LCM_9.4M,0.9818838976678395,0.9842874663216727,0.016692229669550352,0.007643227412461694,-0.0024035686538332983,0.0007109642028808594,0.7544003457550832,0.0017857142857142859,False
LCM_2.5M,LCM_12.2M,0.9818838976678395,0.9878461985361009,0.016692229669550352,0.005733263478613099,-0.005962300868261428,-0.00023698806762695312,0.4341521750241265,0.0017857142857142859,False
LCM_2.5M,LCM_24M,0.9818838976678395,0.9878099191756475,0.016692229669550352,0.006325969784043808,-0.00592602150780814,0.0,0.6215133666992188,0.0017857142857142859,False
LCM_2.5M,PCMCI,0.9818838976678395,0.7462026902607509,0.016692229669550352,0.11437780591823209,0.2356812074070885,0.22399687767028809,9.5367431640625e-07,0.0017857142857142859,True
LCM_2.5M,DYNOTEARS,0.9818838976678395,0.528504266625359,0.016692229669550352,0.15640572341178602,0.45337963104248047,0.4778541326522827,9.5367431640625e-07,0.0017857142857142859,True
LCM_2.5M,VARLINGAM,0.9818838976678395,0.7938461502393087,0.016692229669550352,0.09775207267963847,0.18803774742853074,0.18597155809402466,9.5367431640625e-07,0.0017857142857142859,True
LCM_9.4M,LCM_12.2M,0.9842874663216727,0.9878461985361009,0.007643227412461694,0.005733263478613099,-0.0035587322144281295,-0.004502415657043457,0.024958934788191486,0.0017857142857142859,False
LCM_9.4M,LCM_24M,0.9842874663216727,0.9878099191756475,0.007643227412461694,0.006325969784043808,-0.003522452853974842,-0.0028436779975891113,0.1591614386229342,0.0017857142857142859,False
LCM_9.4M,PCMCI,0.9842874663216727,0.7462026902607509,0.007643227412461694,0.11437780591823209,0.2380847760609218,0.23788303136825562,9.5367431640625e-07,0.0017857142857142859,True
LCM_9.4M,DYNOTEARS,0.9842874663216727,0.528504266625359,0.007643227412461694,0.15640572341178602,0.45578319969631376,0.4695207476615906,9.5367431640625e-07,0.0017857142857142859,True
LCM_9.4M,VARLINGAM,0.9842874663216727,0.7938461502393087,0.007643227412461694,0.09775207267963847,0.19044131608236403,0.20113754272460938,9.5367431640625e-07,0.0017857142857142859,True
LCM_12.2M,LCM_24M,0.9878461985361009,0.9878099191756475,0.005733263478613099,0.006325969784043808,3.627936045328776e-05,-0.0018957257270812988,0.8347904525485468,0.0017857142857142859,False
LCM_12.2M,PCMCI,0.9878461985361009,0.7462026902607509,0.005733263478613099,0.11437780591823209,0.24164350827534994,0.2378830909729004,9.5367431640625e-07,0.0017857142857142859,True
LCM_12.2M,DYNOTEARS,0.9878461985361009,0.528504266625359,0.005733263478613099,0.15640572341178602,0.4593419319107419,0.4713064432144165,5.949326652303364e-05,0.0017857142857142859,True
LCM_12.2M,VARLINGAM,0.9878461985361009,0.7938461502393087,0.005733263478613099,0.09775207267963847,0.19400004829679215,0.2034282088279724,9.5367431640625e-07,0.0017857142857142859,True
LCM_24M,PCMCI,0.9878099191756475,0.7462026902607509,0.006325969784043808,0.11437780591823209,0.24160722891489664,0.23835700750350952,9.5367431640625e-07,0.0017857142857142859,True
LCM_24M,DYNOTEARS,0.9878099191756475,0.528504266625359,0.006325969784043808,0.15640572341178602,0.4593056525502886,0.4736875295639038,9.5367431640625e-07,0.0017857142857142859,True
LCM_24M,VARLINGAM,0.9878099191756475,0.7938461502393087,0.006325969784043808,0.09775207267963847,0.19396376893633888,0.21149253845214844,9.5367431640625e-07,0.0017857142857142859,True
PCMCI,DYNOTEARS,0.7462026902607509,0.528504266625359,0.11437780591823209,0.15640572341178602,0.21769842363539196,0.19666659832000732,4.76837158203125e-06,0.0017857142857142859,True
PCMCI,VARLINGAM,0.7462026902607509,0.7938461502393087,0.11437780591823209,0.09775207267963847,-0.04764345997855777,-0.059999942779541016,0.05814832526160621,0.0017857142857142859,False
DYNOTEARS,VARLINGAM,0.528504266625359,0.7938461502393087,0.15640572341178602,0.09775207267963847,-0.2653418836139497,-0.27666664123535156,9.209347701349042e-05,0.0017857142857142859,True
