model,AUC_mean,AUC_se,TPR_mean,TPR_se,FPR_mean,FPR_se,TNR_mean,TNR_se,FNR_mean,FNR_se,Precision_mean,Precision_se,Recall_mean,Recall_se,F1_mean,F1_se
CP_trf,0.8832330107688904,0.07822268727546938,0.7537240537240537,0.19728674605122717,0.14630370482905045,0.049415268111667916,0.8536962951709496,0.04941526811166791,0.24627594627594626,0.19728674605122717,0.834327804575491,0.059664519410049896,0.7537240537240537,0.19728674605122717,0.7802584591695831,0.12526173863127033
LCM_2.5M,0.9814898644174849,0.017068636652088607,1.0,0.0,0.08672261591655706,0.05826907193698595,0.913277384083443,0.05826907193698595,0.0,0.0,0.9227525276654728,0.04766939135247743,1.0,0.0,0.9591737341891359,0.026253608393523184
LCM_9.4M,0.9844654191107977,0.007629482993640266,1.0,0.0,0.09546685063948174,0.055475931041045555,0.9045331493605181,0.05547593104104556,0.0,0.0,0.915185704923313,0.046085644572417934,1.0,0.0,0.9551084187568833,0.02520357751723122
LCM_12.2M,0.9871157589412871,0.00709597453366858,0.9990476190476191,0.00971241812112911,0.09177250476930696,0.04503882082836204,0.908227495230693,0.04503882082836204,0.0009523809523809524,0.009712418121129112,0.917439863999511,0.037346290524536745,0.9990476190476191,0.00971241812112911,0.956066872885207,0.02056868339779975
LCM_24M,0.98744170325143,0.006496892504955725,0.990915750915751,0.03424969147960255,0.06809657233930456,0.04850947503358632,0.9319034276606954,0.048509475033586325,0.009084249084249084,0.03424969147960256,0.9376014398921552,0.03804194145256882,0.990915750915751,0.03424969147960255,0.96270048749478,0.026017101987978165
PCMCI,0.7462026902607509,0.11162130913929587,1.0,0.0,0.980952380952381,0.04187589193102514,0.01904761904761905,0.04187589193102514,0.0,0.0,0.5050433966690124,0.011151335346108017,1.0,0.0,0.6710627873418569,0.009700895310818788
DYNOTEARS,0.528504266625359,0.15263635688713006,0.6391941391941393,0.4299567479207476,0.6622100122100123,0.4255743837394834,0.33778998778998776,0.4255743837394834,0.3608058608058608,0.4299567479207476,0.3697745729802148,0.2170450928580838,0.6391941391941393,0.4299567479207476,0.45238400507180865,0.2845155845299651
VARLINGAM,0.7938461502393087,0.09539625485892948,0.9371184371184371,0.07184987883876365,0.7280830280830282,0.16664783624342347,0.27191697191697195,0.16664783624342341,0.0628815628815629,0.07184987883876366,0.5682020514016508,0.06048784836874816,0.9371184371184371,0.07184987883876365,0.7049006520931754,0.05137316907753039
