mean,median,std,min,max
0.0007523809523809525,0.001,0.0004759798068792169,0.0,0.002
0.000961904761904762,0.001,0.0005533779054381429,0.0,0.002
0.0018285714285714292,0.002,0.0008820555413475832,0.001,0.004
0.0019714285714285715,0.002,0.0007132960176470976,0.001,0.003
0.0028952380952380957,0.003,0.0008651790557652206,0.002,0.005
0.007809523809523809,0.006,0.0037231579018226937,0.005,0.02
0.47542857142857153,0.314,0.3713041302528928,0.204,1.766
0.12614285714285714,0.053,0.17579712333092534,0.043,0.635
