model,AUC_mean,AUC_se,TPR_mean,TPR_se,FPR_mean,FPR_se,TNR_mean,TNR_se,FNR_mean,FNR_se,Precision_mean,Precision_se,Recall_mean,Recall_se,F1_mean,F1_se
LCM_2.5M,0.9980706453323365,0.007617167406744918,0.98125,0.08172935519138765,0.032916950797395164,0.008437994719212633,0.9670830492026049,0.00843799471921264,0.01875,0.08172935519138765,0.9669402350982113,0.011226137247095118,0.98125,0.08172935519138765,0.9723536426416571,0.05171534243485349
LCM_9.4M,0.9985868394374847,0.005258319693755409,0.975,0.10897247358851686,0.013535944232690838,0.0021467563977704456,0.9864640557673092,0.0021467563977704343,0.025,0.10897247358851685,0.9860799335811657,0.002931623101063077,0.975,0.10897247358851686,0.976645060600895,0.07231441539217118
LCM_12.2M,0.9990006685256958,0.003011129947326194,0.975,0.10897247358851686,0.012837473318429058,0.0023870157625255624,0.9871625266815711,0.002387015762525561,0.025,0.10897247358851685,0.986652272139033,0.003993349841938527,0.975,0.10897247358851686,0.9769966958498136,0.07263341726165326
LCM_24M,0.9968535125255584,0.010226108437463887,0.9875,0.05448623679425842,0.13500006833523848,0.040847848170210393,0.8649999316647616,0.04084784817021041,0.0125,0.05448623679425842,0.8810685031908956,0.0310344024657654,0.9875,0.05448623679425842,0.9300217035252057,0.030840633142696052
PCMCI,0.9801981031894684,0.040167634444398664,0.96875,0.07781187248742957,0.40359684069237056,0.2762911463366039,0.5964031593076294,0.2762911463366039,0.03125,0.07781187248742957,0.7409203484439606,0.15132361351239396,0.96875,0.07781187248742957,0.8257931803400312,0.08226918256206965
DYNOTEARS,0.693536040186882,0.08328668114682056,0.3916666666666666,0.15388487760516154,0.019954123420222868,0.005328130676744865,0.980045876579777,0.005328130676744852,0.6083333333333332,0.15388487760516156,0.9483960977074686,0.011780003802026946,0.3916666666666666,0.15388487760516154,0.5388550681647963,0.14413515502717097
VARLINGAM,0.9956990152597427,0.009832793092856609,1.0,0.0,0.20178363193263565,0.0475567115635621,0.7982163680673644,0.047556711563562094,0.0,0.0,0.8334172034802301,0.03339305912014723,1.0,0.0,0.9087810652155704,0.019753985864509528
