model_a,model_b,mean_a,mean_b,std_a,std_b,mean_delta,median_delta,raw_p_value,adjusted_alpha,significant
LCM_100syn_0sim,LCM_80syn_20sim,0.9232147761753627,0.9670297418321881,0.055189864077618535,0.02633773041313538,-0.04381496565682547,-0.032938361167907715,9.5367431640625e-07,0.008333333333333333,True
LCM_100syn_0sim,LCM_50syn_50sim,0.9232147761753627,0.9538200355711437,0.055189864077618535,0.04699548168460973,-0.03060525939578102,-0.026066362857818604,5.949326652303364e-05,0.008333333333333333,True
LCM_100syn_0sim,LCM_20syn_80sim,0.9232147761753627,0.9693498015403748,0.055189864077618535,0.03741297697388623,-0.04613502536501203,-0.0361667275428772,6.67572021484375e-06,0.008333333333333333,True
LCM_80syn_20sim,LCM_50syn_50sim,0.9670297418321881,0.9538200355711437,0.02633773041313538,0.04699548168460973,0.013209706261044457,0.0009478330612182617,0.1541077014162689,0.008333333333333333,False
LCM_80syn_20sim,LCM_20syn_80sim,0.9670297418321881,0.9693498015403748,0.02633773041313538,0.03741297697388623,-0.002320059708186558,-0.004028439521789551,0.3661188885069493,0.008333333333333333,False
LCM_50syn_50sim,LCM_20syn_80sim,0.9538200355711437,0.9693498015403748,0.04699548168460973,0.03741297697388623,-0.015529765969231016,-0.00758284330368042,0.01578044891357422,0.008333333333333333,False
