model,AUC_mean,AUC_se,TPR_mean,TPR_se,FPR_mean,FPR_se,TNR_mean,TNR_se,FNR_mean,FNR_se,Precision_mean,Precision_se,Recall_mean,Recall_se,F1_mean,F1_se
LCM_2.5M,0.7724890282456304,0.17839677653464114,0.7898724938918646,0.23657840934891394,0.3666226320971669,0.271997010640504,0.6333773679028332,0.27199701064050397,0.21012750610813533,0.23657840934891394,0.6959617772225366,0.1903122152594231,0.7898724938918646,0.23657840934891394,0.7193233520779541,0.18532130269943445
LCM_9.4M,0.7688312709856201,0.17133624981757223,0.761323635267627,0.2568830016485452,0.3742736838681601,0.28917193332708996,0.6257263161318399,0.28917193332708996,0.23867636473237294,0.25688300164854516,0.6743216885972405,0.20934469609092973,0.761323635267627,0.2568830016485452,0.6924914591746304,0.2034477376524786
LCM_12.2M,0.7724143610558879,0.17276318869817692,0.88647414892815,0.21515557551762876,0.41080473920668253,0.2881091928474812,0.5891952607933174,0.2881091928474812,0.11352585107184988,0.2151555755176287,0.6994467234168029,0.18619586965308982,0.88647414892815,0.21515557551762876,0.7643918496202344,0.17638812647928137
LCM_24M,0.723797897490817,0.1850333492643053,0.27743009379366274,0.24754376831979644,0.1200460178385667,0.08996690301390158,0.8799539821614334,0.08996690301390158,0.7225699062063372,0.24754376831979644,0.5635593676600791,0.3080579079489082,0.27743009379366274,0.24754376831979644,0.34979255152173105,0.2592053317768125
PCMCI,0.5211964166710075,0.10870392829462042,0.800303843356394,0.20621838299596287,0.7818415662857772,0.1950257906687632,0.21815843371422275,0.19502579066876322,0.19969615664360607,0.20621838299596287,0.500443953887398,0.08223483018195508,0.800303843356394,0.20621838299596287,0.6075977695406681,0.11232520132668812
DYNOTEARS,0.4904045854550852,0.0877705307308088,0.16931771220778127,0.18571419512657628,0.18361497808504404,0.15097123288252948,0.816385021914956,0.15097123288252948,0.8306822877922188,0.18571419512657625,0.43787605544409425,0.2255810454510759,0.16931771220778127,0.18571419512657628,0.2213759735307861,0.1730293861550246
VARLINGAM,0.5171497440568997,0.09958678045195728,0.7877826923746396,0.14689289111715692,0.768973046934334,0.12212332899149227,0.23102695306566606,0.12212332899149225,0.2122173076253604,0.14689289111715692,0.5045699522366034,0.03975687780672456,0.7877826923746396,0.14689289111715692,0.6115600856786658,0.06685176757239208
