mean,median,std,min,max
0.0012323943661971834,0.001,0.0004274824767208634,0.001,0.004
0.0024542253521126762,0.002,0.0005078833412238364,0.002,0.005
0.0030091549295774645,0.003,0.00010240582368252561,0.002,0.004
0.003807746478873241,0.004,0.00043662068686078204,0.003,0.006
0.049757042253521136,0.035,0.04646082874288017,0.001,0.21
0.05875352112676056,0.041,0.052123756867293085,0.008,0.308
0.24551408450704226,0.2235,0.16785730250981842,0.03,0.686
